"","tau","aa","bb"
"1",0.01,0.951302641751653,0.843849566150197
"2",0.02,1.0483613236351,0.85189716089391
"3",0.03,1.11639277640989,0.851171481559624
"4",0.04,1.16148466034735,0.852308683622588
"5",0.05,1.21464977464184,0.836501267717121
"6",0.06,1.24311560739168,0.843297851625094
"7",0.07,1.26872966486625,0.850956062655307
"8",0.08,1.29689193961835,0.851307813369206
"9",0.09,1.32439527303897,0.847312072578654
"10",0.1,1.34423206915235,0.847048997087922
"11",0.11,1.36661344252785,0.846436540233351
"12",0.12,1.38352624466819,0.84969417704022
"13",0.13,1.40073080459785,0.847041602063421
"14",0.14,1.41971457940448,0.848923454285156
"15",0.15,1.43239353093447,0.853522227105056
"16",0.16,1.44448959950642,0.85580264517487
"17",0.17,1.46556429118347,0.851825800902022
"18",0.18,1.47670831584964,0.858138878357215
"19",0.19,1.49831504022645,0.853553610895361
"20",0.2,1.50355430062615,0.85908682575164
"21",0.21,1.51996950438625,0.860430506437813
"22",0.22,1.53092401851924,0.861144277490606
"23",0.23,1.54533424223793,0.862634504731133
"24",0.24,1.55385292672726,0.864360060847433
"25",0.25,1.56521532678038,0.863794541609997
"26",0.26,1.57875488782632,0.862496476250065
"27",0.27,1.58923520511658,0.866832661782651
"28",0.28,1.59900149999633,0.871032843590491
"29",0.29,1.6094379124341,0.871689321221252
"30",0.3,1.61920480968876,0.871583483284936
"31",0.31,1.62834946069011,0.871869515164655
"32",0.32,1.63717630045162,0.872080547785205
"33",0.33,1.65173336539992,0.87035639020529
"34",0.34,1.66232542182273,0.869492266276769
"35",0.35,1.67260584883884,0.869960901879365
"36",0.36,1.68367059539244,0.870671746527677
"37",0.37,1.69396468369617,0.868053224587717
"38",0.38,1.70085155395293,0.869094080127482
"39",0.39,1.70963284588825,0.867695402684362
"40",0.4,1.71920689959607,0.868210127444459
"41",0.41,1.72576354232556,0.871280995669688
"42",0.42,1.73533756735385,0.871294687190208
"43",0.43,1.74256677676566,0.873896049879854
"44",0.44,1.75473685855011,0.873887326968598
"45",0.45,1.76317854639246,0.874881921249818
"46",0.46,1.77150367671772,0.877667664204583
"47",0.47,1.78275994964715,0.874277291438168
"48",0.48,1.79235807333328,0.87253701250642
"49",0.49,1.8004578509586,0.875045588436484
"50",0.5,1.80892695022264,0.876914501243278
"51",0.51,1.81694884788575,0.877189318807942
"52",0.52,1.83009701899985,0.873606568279278
"53",0.53,1.83661283739088,0.874448964496935
"54",0.54,1.84866353048281,0.869349751417075
"55",0.55,1.85830518024031,0.871220916425443
"56",0.56,1.86585543291318,0.87433460587571
"57",0.57,1.87917560891881,0.869359450599777
"58",0.58,1.88494678646005,0.87140647461055
"59",0.59,1.8952978702198,0.869468121675935
"60",0.6,1.90358123898823,0.871072623585835
"61",0.61,1.91284617326991,0.872128417418336
"62",0.62,1.92128945565351,0.873521980232944
"63",0.63,1.93245035292729,0.8722500925134
"64",0.64,1.94503691478971,0.871548296080452
"65",0.65,1.95722189829815,0.86661477724248
"66",0.66,1.96837501700937,0.866808227074146
"67",0.67,1.97801337783008,0.868795933463608
"68",0.68,1.988011007128,0.866633821594328
"69",0.69,2.00117878173459,0.864421173810747
"70",0.7,2.01213818565333,0.863505618609565
"71",0.71,2.02464632663292,0.865265234473286
"72",0.72,2.03694276967103,0.864010773365593
"73",0.73,2.04682544047743,0.864678344969272
"74",0.74,2.06497949574687,0.861068553913471
"75",0.75,2.07544176608533,0.862567693506347
"76",0.76,2.08751150766711,0.859105067683068
"77",0.77,2.10109339687064,0.860802383703714
"78",0.78,2.11738269426953,0.854466615928677
"79",0.79,2.1304593633115,0.857035201240349
"80",0.8,2.14439359949886,0.853813016381173
"81",0.81,2.16051164186924,0.850219859070546
"82",0.82,2.17656866874085,0.843585175392463
"83",0.83,2.19722457733622,0.835920163830038
"84",0.84,2.21732953088059,0.831438708988934
"85",0.85,2.23020958461171,0.835927646682236
"86",0.86,2.25253961985547,0.830680052153174
"87",0.87,2.26946701955915,0.8353130683941
"88",0.88,2.28614198599179,0.834909340907001
"89",0.89,2.30623176133883,0.832907614500607
"90",0.9,2.33125646410525,0.829130925903719
"91",0.91,2.36116158197732,0.820450679346621
"92",0.92,2.38737715354882,0.821197287939246
"93",0.93,2.42420145666374,0.810162237285736
"94",0.94,2.46246128171055,0.799367786221426
"95",0.95,2.50641530590992,0.794748919784056
"96",0.96,2.54944517092557,0.792784157228987
"97",0.97,2.60078973228006,0.770293795865642
"98",0.98,2.66130916421698,0.766532445459602
"99",0.99,2.77755247051998,0.728551310724031
"100",1,3.162115300513,0.756515013157995
